[04Sep2025 00:02:16.610] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=1626, y=39, z=-2474} BlockPos{x=1580, y=42, z=-2436}
[04Sep2025 00:05:40.884] [Server thread/INFO] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: facuuundooo lost connection: Disconnected
[04Sep2025 00:05:40.885] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: facuuundooo left the game
[04Sep2025 00:22:11.342] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: caver burned to death
[04Sep2025 00:22:11.344] [Server thread/INFO] [tombstone/]: The player caver has successfully been saved
[04Sep2025 00:26:16.757] [Server thread/INFO] [net.minecraft.server.players.PlayerList/]: facuuundooo[/127.150.20.157:53875] logged in with entity id 39717 at (2176.2813988074086, 100.0, -2711.882580905193)
[04Sep2025 00:26:16.763] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: facuuundooo joined the game
[04Sep2025 00:26:34.118] [Worker-Main-3/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=569, y=-13, z=-248}
[04Sep2025 00:26:34.160] [Worker-Main-2/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=569, y=-12, z=-241}
[04Sep2025 00:26:34.161] [Worker-Main-2/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=569, y=-12, z=-242}
[04Sep2025 00:26:37.401] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=559, y=-26, z=-250}
[04Sep2025 00:26:37.401] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=563, y=-26, z=-248}
[04Sep2025 00:26:37.402] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=563, y=-12, z=-248}
[04Sep2025 00:26:37.402] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=563, y=-12, z=-249}
[04Sep2025 00:26:37.494] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=562, y=-26, z=-242}
[04Sep2025 00:26:37.494] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=562, y=-12, z=-242}
[04Sep2025 00:26:37.494] [Worker-Main-1/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=563, y=-13, z=-242}
